VIG,Vanguard股利增值ETF,2006/04/21（已成立15年）,2006/5/2,14,0.024741357,美國,股票型,,0.05(月均:0.01),1.62,季配,0.05,0.06,32.23,NASDAQ US Dividend Achievers Select Index,Dividend Achievers Select Index
LQD,iShares iBoxx投資等級公司債券ETF,2002/07/22（已成立19年）,2002/7/30,18,0.068546898,美國,公司債券,,-0.17(月均:0.03),2.50,月配,0.15,0.15,25.66,Markit iBoxx USD Liquid Investment Grade Index,iBoxx $ Liquid Investment Grade Index
IWD,iShares羅素1000價值股ETF,2000/05/22（已成立21年）,2000/5/26,20,0.028866724,美國,股票型,大型股價值型,-0.03(月均:0.00),1.93,季配,0.19,0.19,39.69,Russell 1000 Value index,Russell 1000 Value Index
VO,Vanguard中型股ETF,2004/01/26（已成立17年）,2004/1/30,17,0.029041887,美國,股票型,中型股混合型,0.03(月均:0.01),1.34,季配,0.03,0.04,44.98,CRSP US Mid Cap Index,道瓊指數
VCIT,Vanguard中期公司債券ETF,2009/11/19（已成立11年）,2009/11/23,11,0.047548632,美國,公司債券,,0.01(月均:0.15),2.57,月配,0.04,0.05,21.51,Barclays U.S. 5-10 Year Corporate Bond Index,Bloomberg Barclays US Aggregate Bond Index
VGT,Vanguard資訊科技類股ETF,2004/01/26（已成立17年）,2004/1/30,17,0.028047384,美國,資訊科技股,,0.03(月均:0.00),0.78,季配,0.09,0.1,40.2,MSCI US Investable Market Information Technology 25/50 Index,Dow Jones U.S. Technology Index
VB,Vanguard小型股ETF,2004/01/26（已成立17年）,2004/1/30,17,0.030147171,美國,股票型,小型股混合型,0.06(月均:-0.04),1.03,季配,0.04,0.05,48.97,CRSP US Small Cap Index,道瓊指數
VXUS,Vanguard總體國際股票ETF,2011/01/26（已成立10年）,2011/1/28,10,0.053245538,全球,股票型,,0.22(月均:0.15),2.00,季配,0.07,0.08,40.54,FTSE Global All Cap ex US Index,道瓊全球指數
XLK,SPDR科技類股ETF,1998/12/16（已成立22年）,1998/12/22,22,0.022456357,美國,資訊科技股,大型股成長型,0.00(月均:0.00),0.88,季配,0.03,0.13,38.44,Technology Select Sector Index,Dow Jones U.S. Technology Index
BNDX,Vanguard總體國際債券ETF,2013/05/31（已成立8年）,2013/6/4,7,0.023618427,全球,債券型,,0.12(月均:0.15),0.97,月配,0.06,0.08,6.39,Bloomberg Barclays Global Aggregate ex-USD Float Adjusted RIC Capped Index (USD Hedged),Bloomberg Barclays Global Aggregate ex USD 10% Iss
VCSH,Vanguard短期公司債券ETF,2009/11/19（已成立11年）,2009/11/23,11,0.026437301,美國,公司債券,,0.10(月均:0.12),2.20,月配,0.04,0.05,18.72,Barclays U.S. 1-5 Year Corporate Bond Index,ICE BofAML 1-5 Year US Corporate Index
ITOT,iShares核心標普美股總體市場指數ETF,2004/01/20（已成立17年）,2004/1/23,17,0.03900116,美國,股票型,大型股混合型,0.07(月均:0.03),1.34,季配,0.03,0.03,39.35,S&P Total Market Index(TM),道瓊指數
VNQ,Vanguard房地產ETF,2004/09/23（已成立16年）,2004/9/29,16,0.055395231,美國,房地產,中型股混合型,-0.02(月均:0.01),3.75,季配,0.11,0.12,46.98,MSCI US Investable Market Real Estate 25/50 Transition Index,FTSE NAREIT Real Estate 50 Index
VEU,Vanguard FTSE美國以外全世界ETF,2007/03/02（已成立14年）,2007/3/8,13,0.070498416,全球,股票型,大型股混合型,0.19(月均:0.17),1.87,季配,0.06,0.08,40.01,FTSE All-World ex US Index,International Dividend Achievers Index
IVW,iShares標普500成長股ETF,2000/05/22（已成立21年）,2000/5/26,20,0.015565682,美國,股票型,大型股成長型,-0.02(月均:-0.02),0.79,季配,0.18,0.18,37.85,S&P 500 Growth Index,道瓊指數
VYM,Vanguard高股利收益ETF,2006/11/10（已成立14年）,2006/11/16,14,0.039985843,美國,股票型,大型股價值型,0.06(月均:0.04),3.02,季配,0.05,0.06,36.86,FTSE High Dividend Yield Index,WisdomTree U.S. High Dividend Index CAD
XLF,SPDR金融類股ETF,1998/12/16（已成立22年）,1998/12/22,22,0.025108454,美國,金融股,大型股價值型,-0.03(月均:0.00),1.87,季配,0.03,0.13,46.9,Financial Select Sector Index,道瓊金融指數
EEM,iShares MSCI新興市場ETF,2003/04/07（已成立18年）,2003/4/14,17,0.023968237,新興市場,股票型,大型股混合型,0.28(月均:0.07),1.30,半年配,0.68,0.68,38.58,MSCI Emerging Markets Index(SM),NASDAQ Emerging Markets Index
BSV,Vanguard短期債券ETF,2007/04/03（已成立14年）,2007/4/10,13,0.02481639,美國,短期債券,,0.06(月均:0.06),1.72,月配,0.04,0.05,6.23,Bloomberg Barclays U.S. 1-5 Year Government/Credit Float Adjusted Index,Bloomberg Barclays U.S. Universal 1-5 Year Index
IAU,iShares黃金信託ETF,2005/01/21（已成立16年）,2005/1/28,16,0,美國,貴重金屬,,-0.24(月均:-0.14),N/A,,0.25,0.25,20.32,LBMA Gold Price,LBMA Gold Price
USMV,iShares MSCI美國最小波動率因子ETF,2011/10/18（已成立9年）,2011/10/20,9,0.021256488,美國,股票型,,0.03(月均:0.00),1.83,季配,0.15,0.15,31.9,MSCI USA Minimum Volatility (USD) Index,道瓊指數
ARKK,ARK新興主動型ETF,2014/10/31（已成立6年）,2014/10/31,6,0.002532231,全球,資訊科技股,大型股混合型,0.03(月均:0.06),0.00,年配,0.75,0.75,73.23,,Dow Jones U.S. Technology Index
SCHX,Schwab美國大型股ETF,2009/11/03（已成立11年）,2009/11/3,11,0.019910783,美國,股票型,大型股混合型,0.07(月均:0.04),1.56,季配,0.03,0.03,39.72,Dow Jones U.S. Large-Cap Total Stock Market Index,Dow Jones U.S. Large Cap Total Stock Market Index
TIP,iShares抗通膨債券ETF,2003/12/04（已成立17年）,2003/12/5,17,0.04561282,美國,抗通膨債券,,0.06(月均:0.04),1.08,月配,0.19,0.19,14.58,Bloomberg Barclays U.S. Treasury Inflation Protected Securities (TIPS) Index (Series-L),Bloomberg Barclays U.S. Treasury Inflation Protect
IWR,iShares羅素中型股ETF,2001/07/17（已成立20年）,2001/8/27,19,0.017744839,美國,股票型,中型股混合型,0.07(月均:0.01),1.18,季配,0.19,0.19,46.78,Russell Midcap index,Russell Midcap index
IXUS,iShares MSCI核心總體國際股市ETF,2012/10/18（已成立8年）,2012/10/24,8,0.027371726,全球,股票型,,0.15(月均:0.15),1.73,半年配,0.09,0.09,41.25,MSCI ACWI ex USA Investable Market Index,道瓊全球指數
IWB,iShares羅素1000 ETF,2000/05/15（已成立21年）,2000/5/19,20,0.021414923,美國,股票型,大型股混合型,0.04(月均:0.00),1.30,季配,0.15,0.15,38.51,Russell 1000 Index,Russell 1000 Index
DIA,SPDR道瓊工業平均指數ETF,1998/01/14（已成立23年）,1998/1/20,23,0.028736904,美國,股票型,大型股價值型,0.04(月均:0.01),1.81,月配,0.06,0.16,41.39,Dow Jones Industrial Average,Dow Jones Industrial Average
MBB,iShares抵押貸款證券化債券ETF,2007/03/13（已成立14年）,2007/3/16,13,0.035472932,美國,債券型,,-0.01(月均:0.01),1.88,月配,0.06,0.07,2.67,Barclays U.S. MBS Index,Barclays U.S. MBS Index
SCHF,Schwab國際股票ETF,2009/11/03（已成立11年）,2009/11/3,11,0.026153002,全球,股票型,,0.32(月均:0.23),1.99,年配,0.06,0.06,41.53,FTSE Developed ex-US Index,道瓊全球指數
XLV,SPDR健康照護類股ETF,1998/12/16（已成立22年）,1998/12/22,22,0.017528006,美國,健康護理股,大型股成長型,0.05(月均:0.00),1.46,季配,0.03,0.13,30.37,Health Care Select Sector Index,道瓊健康護理指數
IGSB,iShares 1-5年期投資級公司債券ETF,2007/01/05（已成立14年）,2007/1/11,14,0.027871467,美國,短期債券,,0.02(月均:0.06),1.96,月配,0.06,0.06,14.07,ICE BofA 1-5 Year US Corporate Index,ICE BofAML 1-5 Year US Corporate Index
VV,Vanguard大型股ETF,2004/01/27（已成立17年）,2004/1/30,17,0.023225638,美國,股票型,大型股混合型,-0.01(月均:0.01),1.39,季配,0.03,0.04,38.42,CRSP US Large Cap Index,道瓊指數
HYG,iShares iBoxx高收益公司債券ETF,2007/04/04（已成立14年）,2007/4/11,13,0.112122762,美國,高收益債,,0.03(月均:0.07),4.04,月配,0.49,0.49,22.12,Markit iBoxx USD Liquid High Yield Index,iBoxx $ Liquid High Yield Index
MUB,iShares美國市政債券ETF,2007/09/07（已成立13年）,2007/9/10,13,0.03810365,美國,市政債券,,0.09(月均:0.17),1.93,月配,0.07,0.07,14.63,S&P National AMT-Free Municipal Bond Index,OMRX Municipal Bond Index
VBR,Vanguard小型價值股ETF,2004/01/26（已成立17年）,2004/1/30,17,0.047334411,美國,股票型,小型股價值型,0.06(月均:0.00),1.51,季配,0.06,0.07,49.5,CRSP US Small Cap Value Index,道瓊指數
RSP,Invesco標普500平均加權指數ETF,2003/04/24（已成立18年）,2003/5/1,17,0.026115327,美國,股票型,大型股混合型,-0.01(月均:0.03),1.54,季配,0.2,0.2,42.58,S&P 500 Equal Weight Index,道瓊指數
QUAL,iShares MSCI美國優質因子ETF,2013/07/16（已成立8年）,2013/7/18,7,0.018314316,美國,股票型,,-0.01(月均:-0.01),1.36,季配,0.15,0.15,35.31,MSCI USA Sector Neutral Quality Index,道瓊指數
MDY,SPDR標普400中型股ETF,1995/05/04（已成立26年）,1995/5/4,25,0.015462143,美國,股票型,中型股混合型,0.08(月均:0.00),1.04,季配,0.1,0.23,50.75,S&P MidCap 400 Index,道瓊指數
XLY,SPDR非必需消費類股ETF,1998/12/16（已成立22年）,1998/12/22,22,0.013969362,美國,非必需消費股,大型股成長型,0.00(月均:0.01),0.77,季配,0.03,0.13,48.59,Consumer Discretionary Select Sector Index,Dow Jones U.S. Consumer Goods Index
IVE,iShares標普500價值股ETF,2000/05/22（已成立21年）,2000/5/26,20,0.02834565,美國,股票型,大型股價值型,-0.01(月均:-0.01),2.25,季配,0.18,0.18,37.31,S&P 500 Value Index,道瓊指數
SCHB,Schwab美國整體市場ETF,2009/11/03（已成立11年）,2009/11/3,11,0.019605585,美國,股票型,大型股混合型,-0.01(月均:0.00),1.55,季配,0.03,0.03,40.38,Dow Jones U.S. Broad Stock Market Index,道瓊指數
XLE,SPDR能源類股ETF,1998/12/16（已成立22年）,1998/12/22,22,0.027928696,美國,能源,大型股價值型,0.02(月均:0.00),4.69,季配,0.03,0.13,81.42,Energy Select Sector Index,Dow Jones U.S. Oil & Gas Index
SHY,iShares 1-3年期美國公債ETF,2002/07/22（已成立19年）,2002/7/30,18,0.022631912,美國,短期債券,,0.02(月均:0.01),0.78,月配,0.15,0.15,1.63,ICE U.S. Treasury 1-3 Year Bond Index,ICE U.S. Treasury 1-3 Year Bond Index
VT,Vanguard全世界股票ETF,2008/06/24（已成立13年）,2008/6/26,12,0.047282822,全球,股票型,,0.19(月均:0.11),1.56,季配,0.07,0.08,39.44,FTSE Global All Cap Index,道瓊全球指數
EMB,iShares J.P. Morgan新興市場美元債券ETF,2007/12/17（已成立13年）,2007/12/19,13,0.067880255,新興市場,債券型,,-0.03(月均:0.28),3.97,月配,0.39,0.39,33.41,J.P. Morgan EMBI Global Core Index,J.P. Morgan EMBI Global Core Index
PFF,iShares優先股與收益證券ETF,2007/03/26（已成立14年）,2007/3/30,13,0.109144282,美國,股票型,大型股混合型,-0.19(月均:-0.15),4.46,月配,0.46,0.46,51.64,ICE Exchange-Listed Preferred & Hybrid Securities Transition Index,ICE Exchange-Listed Preferred & Hybrid Securities
SCHD,Schwab美國高股利股票型ETF,2011/10/20（已成立9年）,2011/10/20,9,0.032821698,美國,股票型,,0.04(月均:0.02),3.02,季配,0.06,0.06,32.63,Dow Jones U.S. Dividend 100 Index,道瓊指數
SDY,SPDR標普高股利ETF,2005/11/08（已成立15年）,2005/11/15,15,0.041035896,美國,股票型,大型股價值型,-0.01(月均:-0.03),2.72,季配,0.35,0.35,34.14,S&P High Yield Dividend Aristocrats index,道瓊指數
SLV,iShares白銀信託ETF,2006/04/21（已成立15年）,2006/4/28,14,0,全球,貴重金屬,,0.92(月均:-0.16),N/A,,0.5,0.5,65.96,London Silver Fix Price(LBMA silver price),LBMA Silver Price
SHV,iShares短期美國公債ETF,2007/01/05（已成立14年）,2007/1/11,14,0.01244527,美國,短期債券,,0.00(月均:0.00),0.46,月配,0.15,0.15,0.64,ICE Short US Treasury Securities Index,ICE U.S. Treasury Short Bond Index
VBK,Vanguard小型成長股ETF,2004/01/26（已成立17年）,2004/1/30,17,0.014896221,美國,股票型,小型股成長型,-0.04(月均:-0.01),0.40,季配,0.06,0.07,48.18,CRSP US Small Cap Growth Index,CRSP US Small Cap Growth Index
MTUM,iShares MSCI美國動能因子ETF,2013/04/16（已成立8年）,2013/4/18,7,0.013639811,美國,股票型,,-0.02(月均:0.01),0.77,季配,0.15,0.15,36.54,MSCI USA Momentum Index,道瓊指數
IWP,iShares羅素中型成長股ETF,2001/07/17（已成立20年）,2001/8/2,19,0.008076883,美國,股票型,中型股成長型,-0.04(月均:-0.01),0.35,季配,0.24,0.24,47.09,Russell Midcap Growth index,Russell Midcap Growth index
XLI,SPDR工業類股ETF,1998/12/16（已成立22年）,1998/12/22,22,0.022749922,美國,工業類股,大型股混合型,-0.02(月均:0.00),1.53,季配,0.03,0.13,44.29,Industrial Select Sector Index,Industrial Select Sector Index
JPST,JPMorgan超短收益主動型ETF,2017/05/17（已成立4年）,2017/6/26,3,0.02143717,全球,債券型,,0.06(月均:0.04),1.32,月配,0.18,0.18,3.99,,Bloomberg Barclays U.S. Government/Credit Bond Ind
DGRO,iShares核心股息成長ETF,2014/06/10（已成立7年）,2014/6/12,6,0.024349747,美國,股票型,大型股混合型,0.02(月均:0.01),2.23,季配,0.08,0.08,35.55,Morningstar US Dividend Growth Index,道瓊指數
VXF,Vanguard中小型股延展市場ETF,2001/12/27（已成立19年）,2002/1/4,19,0.027209466,美國,股票型,中型股混合型,-0.03(月均:-0.02),0.95,季配,0.05,0.06,49.75,S&P Completion Index,道瓊指數
DVY,iShares精選高股利指數ETF,2003/11/03（已成立17年）,2003/11/7,17,0.048843752,美國,股票型,中型股價值型,-0.01(月均:-0.02),3.34,季配,0.39,0.39,39.85,Dow Jones U.S. Select Dividend Index,Dow Jones U.S. Select Dividend Index
SCHP,Schwab美國抗通膨債券ETF,2010/08/05（已成立11年）,2010/8/5,10,0.021549981,美國,抗通膨債券,,0.02(月均:0.03),0.94,月配,0.05,0.05,13.91,Bloomberg Barclays US Treasury Inflation-Linked Bond Index,Bloomberg Barclays U.S. Government/Credit Bond Ind
SCHA,Schwab美國小型股ETF,2009/11/03（已成立11年）,2009/11/3,11,0.014459588,美國,股票型,小型股成長型,0.09(月均:0.02),0.94,季配,0.04,0.04,53.79,Dow Jones U.S. Small-Cap Total Stock Market Index,Dow Jones U.S. Small Cap Total Stock Market Index
BIV,Vanguard美國中期債券ETF,2007/04/03（已成立14年）,2007/4/10,13,0.044727534,美國,中期債券,,-0.02(月均:0.07),2.24,月配,0.04,0.05,11.52,Bloomberg Barclays U.S. 5-10 Yr Government/Credit Float Adjusted Index,Bloomberg Barclays US Universal 5-10 Years Index
VGK,Vanguard FTSE歐洲ETF,2005/03/04（已成立16年）,2005/3/10,15,0.138822278,歐洲,股票型,,0.08(月均:0.12),2.03,季配,0.07,0.08,44.78,FTSE Developed Europe All Cap Index,道瓊歐洲指數
ACWI,iShares MSCI全世界ETF,2008/03/26（已成立13年）,2008/3/28,12,0.033731929,全球,股票型,大型股混合型,0.13(月均:0.08),1.36,半年配,0.32,0.33,39.04,MSCI ACWI Index,道瓊全球指數
GOVT,iShares美國公債ETF,2012/02/14（已成立9年）,2012/2/24,9,0.015210533,美國,債券型,,0.04(月均:0.02),1.24,月配,0.15,0.15,5.34,ICE U.S. Treasury Core Bond Index,ICE U.S. Treasury Core Bond Index
MINT,PIMCO增強短期到期主動型ETF,2009/11/16（已成立11年）,2009/11/17,11,0.012768807,美國,短期債券,,0.02(月均:-0.01),0.98,月配,0.35,0.36,2.81,,ICE U.S. Treasury Short Bond Index
TLT,iShares 20年期以上美國公債ETF,2002/07/22（已成立19年）,2002/7/30,18,0.052771692,美國,長期債券,,0.03(月均:0.01),1.48,月配,0.15,0.15,18.64,ICE U.S. Treasury 20+ Year Bond Index,ICE U.S. Treasury 20+ Year Bond Index
ESGU,iShares ESG感知MSCI美國ETF,2016/12/01（已成立4年）,2016/12/6,4,0.019325579,美國,股票型,大型股混合型,-0.01(月均:0.02),1.21,季配,0.15,0.15,37.78,MSCI USA Extended ESG Focus Index,道瓊指數
GDX,VanEck Vectors黃金礦業ETF,2006/05/16（已成立15年）,2006/5/22,14,0.007204883,全球,貴重金屬,,0.31(月均:-0.14),0.58,年配,0.5,0.52,62.59,NYSE Arca Gold Miners Index (Total Return),NYSE Arca Gold Miners Index (NTR)
IEF,iShares 7-10年期美國公債ETF,2002/07/22（已成立19年）,2002/7/30,18,0.040678728,美國,中期債券,,0.03(月均:0.02),0.92,月配,0.15,0.15,6.16,ICE U.S. Treasury 7-10 Year Bond Index,ICE U.S. Treasury 7-10 Year Bond Index
VHT,Vanguard健康照護類股ETF,2004/01/26（已成立17年）,2004/1/30,17,0.05283436,美國,健康護理股,,0.03(月均:0.00),1.18,季配,0.09,0.1,35.89,MSCI US Investable Market Health Care 25/50 Index,道瓊健康護理指數
IWN,iShares羅素2000價值股ETF,2000/07/24（已成立21年）,2000/7/28,20,0.023241795,美國,股票型,小型股價值型,-0.05(月均:-0.03),1.39,季配,0.24,0.24,51.17,Russell 2000 Value index,Russell 2000 Value index
EWJ,iShares MSCI日本ETF,1996/03/12（已成立25年）,1996/3/18,24,0.06280602,日本,股票型,,0.88(月均:0.21),0.98,半年配,0.49,0.49,30.83,MSCI Japan Index,日經指數
VMBS,Vanguard抵押貸款證券ETF,2009/11/19（已成立11年）,2009/11/23,11,0.022512367,美國,固定收益,,0.02(月均:0.05),1.70,月配,0.03,0.05,3.53,Barclays U.S. Mortgage Backed Securities Float Adjusted Index,Barclays U.S. MBS Index
SCHG,Schwab美國大型成長股ETF,2009/12/11（已成立11年）,2010/1/4,11,0.011196493,美國,股票型,大型股成長型,-0.01(月均:0.01),0.50,季配,0.04,0.04,42.29,Dow Jones U.S. Large-Cap Growth Total Stock Market Index,Dow Jones U.S. Large-Cap Growth Total Stock Market
IWO,iShares羅素2000成長股ETF,2000/07/24（已成立21年）,2000/7/28,20,0.006806647,美國,股票型,小型股成長型,-0.03(月均:-0.01),0.39,季配,0.24,0.24,53.59,Russell 2000 Growth index,Russell 2000 Growth index
XLC,SPDR通訊服務類股ETF,2018/06/18（已成立3年）,2018/6/19,2,0.005294409,美國,電信股,大型股成長型,0.01(月均:0.00),0.62,季配,0.03,0.13,38.54,Communication Services Select Sector Index,Dow Jones U.S. Select Telecommunications Total Ret
ARKG,ARK生物基因科技革新主動型ETF,2014/10/31（已成立6年）,2019/12/27,1,0,全球,生物科技,大型股混合型,0.11(月均:0.07),0.00,年配,0.75,0.75,69.84,,Dow Jones U.S. Health Care Index
SCZ,iShares MSCI歐澳遠東小型股ETF,2007/12/10（已成立13年）,2007/12/12,13,0.030474841,全球,股票型,小型股成長型,0.24(月均:0.26),1.42,半年配,0.4,0.4,46.81,MSCI EAFE Small Cap Index,道瓊全球指數
BIL,SPDR彭博巴克萊1-3月美國國庫券ETF,2007/05/25（已成立14年）,2007/5/30,13,0.012874131,美國,短期債券,,0.00(月均:0.01),0.18,月配,0.1345,0.1359,0.28,Bloomberg Barclays 1-3 Month U.S. Treasury Bill Index,ICE U.S. Treasury Short Bond Index
GSLC,Goldman Sachs積極貝塔美國大型股ETF,2015/09/17（已成立5年）,2015/9/21,5,0.017809023,美國,股票型,大型股混合型,0.04(月均:0.04),1.29,季配,0.09,0.09,37.33,Goldman Sachs ActiveBeta U.S. Large Cap Equity Index,道瓊指數
IWS,iShares羅素中型價值股ETF,2001/07/17（已成立20年）,2001/8/2,19,0.025810791,美國,股票型,中型股價值型,0.06(月均:-0.01),1.72,季配,0.24,0.24,48.02,Russell Midcap Value index,Russell Midcap Value index
VOE,Vanguard中型價值股ETF,2006/08/17（已成立15年）,2006/8/25,14,0.044119243,美國,股票型,中型股價值型,0.05(月均:0.02),2.18,季配,0.06,0.07,46.77,CRSP US Mid Cap Value Index,道瓊指數
VLUE,iShares MSCI美國價值因子ETF,2013/04/16（已成立8年）,2013/4/18,7,0.024325379,美國,股票型,,-0.02(月均:0.02),2.17,季配,0.15,0.15,41.15,MSCI USA Enhanced Value Index,道瓊指數
EFV,iShares MSCI歐澳遠東價值股ETF,2005/08/01（已成立16年）,2005/8/5,15,0.054323925,全球,股票型,大型股價值型,0.26(月均:0.25),2.29,半年配,0.39,0.39,44.72,MSCI EAFE Value Index,道瓊全球指數
XLU,SPDR公用事業類股ETF,1998/12/16（已成立22年）,1998/12/22,22,0.053853488,美國,公共事業股,大型股價值型,0.02(月均:0.01),3.16,季配,0.03,0.13,29.4,Utilities Select Sector Index,Dow Jones U.S. Utilities Index
VTEB,Vanguard免稅政府債券ETF,2015/08/21（已成立6年）,2015/8/25,5,0.020552457,美國,債券型,,-0.02(月均:0.06),1.96,月配,0.05,0.06,24.05,S&P National AMT-Free Municipal Bond Index,Bloomberg Barclays U.S. Government/Credit Bond Ind
IBB,iShares納斯達克生技ETF,2001/02/05（已成立20年）,2001/2/12,20,0.002471747,美國,生物科技,,0.05(月均:0.02),0.19,季配,0.47,0.47,38.29,Nasdaq Biotechnology Index(R),Nasdaq Biotechnology Index(R)
IEI,iShares 3-7年期美國公債ETF,2007/01/05（已成立14年）,2007/1/11,14,0.022244171,美國,債券型,,0.03(月均:0.02),0.91,月配,0.15,0.15,3.34,ICE U.S. Treasury 3-7 Year Bond Index,ICE U.S. Treasury 3-7 Year Bond Index
FDN,First Trust道瓊網路指數ETF,2006/06/19（已成立15年）,2006/6/23,14,0,美國,電信股,,0.04(月均:-0.01),N/A,半年配,0.4,0.52,45.24,Dow Jones Internet Composite Index,Dow Jones Internet Composite Index
VTIP,Vanguard短期抗通膨債券ETF,2012/10/12（已成立8年）,2012/10/16,8,0.021369776,美國,抗通膨債券,,0.10(月均:0.06),1.19,季配,0.04,0.05,5.12,Barclays U.S. Treasury Inflation-Protected Securities (TIPS) 0–5 Year Index,ICE BofAML 1-5 Year US Corporate Index
IGIB,iShares 5-10年期投資級公司債券ETF,2007/01/05（已成立14年）,2007/1/11,14,0.045216444,美國,中期債券,,-0.10(月均:0.04),2.32,月配,0.06,0.06,17.29,ICE BofA 5-10 Year US Corporate Index,ICE BofAML 5-10 Year US Corporate Index
IWV,iShares羅素3000 ETF,2000/05/22（已成立21年）,2000/5/26,20,0.020230567,美國,股票型,大型股混合型,-0.02(月均:-0.03),1.23,季配,0.2,0.2,39.16,Russell 3000 Index,Russell 3000 Index
TQQQ,ProShares三倍做多納斯達克指數ETF,2010/02/09（已成立11年）,2010/2/11,11,0.000442215,美國,做多型,大型股成長型,0.02(月均:-0.03),0.00,季配,0.75,0.98,103.99,NASDAQ-100 Index,那斯達克 100
VOT,Vanguard中型成長股ETF,2006/08/17（已成立15年）,2006/8/25,14,0.012292853,美國,股票型,中型股成長型,-0.05(月均:-0.01),0.52,季配,0.06,0.07,44.84,CRSP US Mid Cap Growth Index,道瓊指數
